1302|1000|Practice Weapon|练习用武器|Lacking in the power department, but better than nothing.|不能期待它有多高的攻击力，不过总比没有的好。
3535|1041|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3578|1042|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3621|1043|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3664|1044|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3707|1045|        |        |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
3750|1046|Misericordes|慈悲刃|[STR+200]\nNarrow swords made for getting through narrow gaps in armor.|【STR+200】\n　薄刃短刀，可以透过铠甲缝隙实行攻击。
3843|1047|Main-Gauche|左手短刃|[STR+300]\nA sword for the left hand. Comes with one for the right, too.|【STR+300】\n　专为左手使用制作的刀刃，附赠一只右手使用的版本。
3936|1048|Shadow Stitchers|影针|[STR+400/DEX+5/AGL+5]\nKnives that blend into shadows. Used for stealth operations.|【STR+400】\n　可以融入影子中的漆黑小刀，秘密行动使用的暗器。
4045|1049|Sting Edges|刺刃|[STR+500]\nTwin swords designed to be easy to throw for killing blows.|【STR+500】\n　为了便于以投掷方式给予敌人致命一击而制成的双剑。
4136|1050|Hatchets|飞手斧|[STR+600]\nHatchets with oval-shaped blades. Designed to be swung rapidly.|【STR+600】\n　椭圆形刀刃的柴刀，能够迅速挥舞的武器。
4228|1051|Kidney Daggers|肾形短刃|[STR+700/DEX+10/AGL+10]\nTwin swords so sharp, foes won't even feel them.|【STR+700】\n　让敌人也无法察觉自己被斩开的锐利双剑。
4325|1052|Oddeyes|鸳鸯眼|[STR+800]\nFor pros. Different sizes and give off different light.|【STR+800】\n　左右两把剑大小各异，闪耀不同的光辉，熟练者专用武器。
4408|1053|Kusanagi Blades|草薙刀（巴·静）|[STR+900]\nOdd blades that can be joined at the hilt and used as a staff.|【STR+900】\n　以柄相连的刀，可以如同棍棒一般使用的珍稀的姐妹剑。
4506|1054|NON_ITEM|NON_ITEM|[STR+1000]\nUnused.|【STR+1000】\n　未使用。
4543|1055|Catacombs|古墓剑|[STR+1100/DEX+20/AGL+20]\nTwin swords made from the fragments of an ancient blade.|【STR+1100】\n　将古代剑熔化，利用其碎片翻新制作的双剑。
4644|1056|Swallow Tails|燕尾|[STR+1200/DEX+25/AGL+25]\nSwords from old legend. Compared to birds on a battlefield.|【STR+1200】\n　在传说中登场的宝剑，被讴歌为战场上的翱翔之鸟。
4752|1057|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
4793|1058|Snow & Rain|红雪剑·白雨刀|[STR+950/ADF+25/DEX+25]\nOnce a traveler's. Said to have fallen from the sky.|【STR+950】\n　旅行者遗失的物品，据说是从天而降的东西。
4891|1059|Snow & Rain+1|红雪剑·白雨刀+1|[STR+1300/ADF+75/DEX+25]\nOnce a traveler's. Said to have fallen from the sky.|【STR+1150】\n　旅行者遗失的物品，据说是从天而降的东西。
4992|1060|Serenity Blades|双剑『行云流水』|[STR+1500/DEX+30/AGL+25]\nTwin swords with a symbol on them. Made from strange ore.|【STR+1500】\n　以谜之矿石精制而成，刻有曲线花纹的双剑。
5100|1061|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5141|1062|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5182|1063|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5223|1064|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5264|1065|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5305|1066|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5346|1067|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5387|1068|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5428|1069|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5469|1070|--|--| | 
5482|1071|--|--| | 
5495|1072|--|--| | 
5508|1073|--|--| | 
5521|1074|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5562|1075|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5603|1076|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5644|1077|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5685|1078|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5726|1079|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5767|1080|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5808|1081|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5849|1082|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5890|1083|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5931|1084|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
5972|1085|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
6013|1086|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
6054|1087|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
6095|1088|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
6136|1089|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
6177|1090|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
6218|1091|Chain Whip|链鞭|[STR+500/RNG+3]\nA whip made from fine metal chains.|【STR+500 RNG+3】\n　用细小的金属锁链接成的鞭子。
6290|1092|Needle Whip|刺藤鞭|[STR+600/RNG+3]\nA whip with thorns on its end. Steals the will to fight.|【STR+600 RNG+3】\n　尖端植入荆棘的鞭子，可以使敌人逐渐丧失战意。
6384|1093|NON_ITEM|NON_ITEM|[STR+700/RNG+4]\nUnused.|【STR+700 RNG+4】\n　未使用。
6426|1094|Severance Whip|金桨|[STR+800/RNG+3/DEX+5]\nA whip that wraps round and tears off enemy parts.|【STR+800 RNG+3】\n　金线制成的鞭子，可以将被缠绕的部位切断。
6523|1095|Myrrh Thorns|香藤触须|[STR+900/RNG+3]\nWhip made from entwining thorns from a resin-producing tree.|【STR+900 RNG+3】\n　用东方出产的甘香树藤捻合成的鞭子，散发着宜人的香气。
6622|1096|NON_ITEM|NON_ITEM|[STR+1000/RNG+4]\nUnused.|【STR+1000 RNG+4】\n　未使用。
6665|1097|Iron Whip|银丝鞭|[STR+1100/RNG+3/ATS+30/ADF+30/DEX+5]\nA long, narrow iron whip made using ancient technology.|【STR+1100 RNG+3】\n　以古代技术制成的细长铁线，鞭身闪耀着银色的余辉。
6777|1098|Gorgon's Terror|戈耳工之恐惧|[STR+1200/RNG+4/ATS+35/ADF+35/DEX+10]\nA whip with multiple scale-covered tails.|【STR+1200 RNG+4】\n　用粘在一起的辉石鳞片制成的多尾鞭。
6882|1099|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
6935|1100|Zigeuner|流浪者之歌|[STR+950/RNG+4/ATS+50/ADF+50/DEX+10]\nOnce a traveler's. A common whip used by cowboys.|【STR+950 RNG+4】\n　旅行者遗失的物品，牧童常用的鞭子。
7040|1101|Zigeuner+1|流浪者之歌+1|[STR+1300/RNG+4/ATS+100/ADF+100/DEX+20]\nOnce a traveler's. A common whip used by cowboys.|【STR+1150 RNG+4】\n　旅行者遗失的物品，牧童常用的鞭子。
7150|1102|Viper|毒蛇|[STR+12/RNG+3]\nA light, easy-to-use leather whip.|【STR+12 RNG+3】\n　轻便易用的皮革鞭子。
7215|1103|Arc en Ciel|虹|[STR+1500/RNG+4/ATS+150/ADF+150/DEX+20]\nA whip made of strange ore that glows in seven colors.|【STR+1500 RNG+4】\n　以谜之矿石精制而成的七色鞭子。
7331|1104|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7384|1105|--|--| | 
7397|1106|--|--| | 
7410|1107|--|--| | 
7423|1108|--|--| | 
7436|1109|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7489|1110|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7542|1111|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7595|1112|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7648|1113|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7701|1114|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7754|1115|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7807|1116|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7860|1117|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7913|1118|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
7966|1119|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8019|1120|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8072|1121|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8125|1122|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8178|1123|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8231|1124|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8284|1125|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8337|1126|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8390|1127|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8443|1128|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8496|1129|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8549|1130|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8602|1131|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8655|1132|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8708|1133|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8761|1134|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8814|1135|                  |                  |[STR+0000 RNG+0]\nNO_ITEM|【STR+0000 RNG+0】\n　NO_ITEM
8867|1136|Dual Star|双星|[STR+200/RNG+5]\nA consumer-grade orbal gun made by the Reinford Company.|【STR+200 RNG+5】\n　帝国莱恩福尔特社制造的导力枪，普通型号。
8959|1137|Skyfish|天鱼|[STR+300/RNG+5]\nA powerful orbal gun that fires bullets in rapid succession.|【STR+300 RNG+5】\n　一次可以发射数枚子弹的，破坏力增强的导力枪。
9053|1138|Juggernaut|世界主宰|[STR+400/RNG+6/DEX+5]\nThe latest high-powered orbal gun from the Verne Company.|【STR+400 RNG+6】\n　共和国乌尔努社研发的大功率导力枪的后续版本。
9153|1139|Stinger-M|毒针－Ｍ|[STR+500/RNG+5]\nA military-grade orbal gun from Reinford. Small in size.|【STR+500 RNG+5】\n　帝国莱恩福尔特社制造的军用型小型导力枪。
9245|1140|0-Type Orbal Gun 2|零式导力枪·改|[STR+600/RNG+5]\nA gun made by ZCF that allows you to adjust its output.|【STR+600 RNG+5】\n　中央工房制造的产品，带有能调整输出功率的导力器。
9345|1141|Moby Dick|同族誓言|[STR+700/RNG+6/DEX+10]\nVerne-made, with a bayonet attached. Also used in the army.|【STR+700 RNG+6】\n　共和国乌尔努社制的军用导力枪，枪身佩有刺刀。
9447|1142|Phantom S|幻影－Ｓ|[STR+800/RNG+5]\nThe Reinford Company's latest model of gun. Has a silencer.|【STR+800 RNG+5】\n　帝国莱恩福尔特社的最新产品，附有消音装置。
9542|1143|Peace Breaker|和平破坏者|[STR+900/RNG+5]\nAn orbal gun of unknown origin popular in the underworld.|【STR+900 RNG+5】\n　黑社会中愈发常用的武器，制造商不明。
9639|1144|Olibanum Ray|乳香射线枪|[STR+1000/RNG+6/DEX+15]\nA gun made of fragrant wood. Full of Eastern technology.|【STR+1000 RNG+6】\n　以东方秘诀精炼而成，散发着香气的木制导力枪。
9742|1145|Desperado|暴徒|[STR+1100/RNG+5/DEX+20]\nAn ancient gun with exchangeable parts.|【STR+1100 RNG+5】\n　古代文明制造的导力枪，可以进行多种换装。
9825|1146|Akashic R|第五元素－Ｒ|[STR+1200/RNG+6/DEX+25]\nAn ancient revolver that fires septium as bullets.|【STR+1200 RNG+6】\n　以七耀石作为子弹的传说中的古代枪，典礼用的左轮手枪。
9919|1147|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
9960|1148|Eine Kleine|小夜曲|[STR+750/RNG+6/DEX+30/SPD+5]\nOnce a traveler's. Reflects bullets inside before firing.|【STR+750 RNG+6】\n　旅行者遗失的物品，可以打出在体内反射的子弹。
10068|1149|Eine Kleine+1|小夜曲+1|[STR+950/RNG+6/DEX+35/SPD+5]\nOnce a traveler's. Reflects bullets inside before firing.|【STR+950 RNG+6】\n　旅行者遗失的物品，可以打出在体内反射的子弹。
10178|1150|Eine Kleine+2|小夜曲+2|[STR+1300/RNG+6/DEX+40/SPD+5]\nOnce a traveler's. Reflects bullets inside before firing.|【STR+1150 RNG+6】\n　旅行者遗失的物品，可以打出在体内反射的子弹。
10289|1151|Masquerader|假面之眼|[STR+1500/RNG+6/DEX+50]\nMade from strange ore. Bullets automatically pursue foes.|【STR+1500 RNG+6】\n　以谜之矿石精炼而成的导力枪，子弹可以自动追踪敌人。
10392|1152|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10433|1153|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10474|1154|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10515|1155|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10556|1156|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10597|1157|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10638|1158|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10679|1159|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10720|1160|--|--| | 
10733|1161|--|--| | 
10746|1162|--|--| | 
10759|1163|--|--| | 
10772|1164|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10813|1165|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10854|1166|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10895|1167|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10936|1168|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
10977|1169|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11018|1170|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11059|1171|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11100|1172|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11141|1173|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11182|1174|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11223|1175|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11264|1176|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11305|1177|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11346|1178|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11387|1179|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11428|1180|            |            |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
11469|1181|Foil|花剑|[STR+100]\nA narrow weapon designed for thrusting attacks.|【STR+100】\n　专为突刺而设计的细剑。
11541|1182|Epee|尖剑|[STR+200]\nA slim weapon that repels much larger ones. For the skilled.|【STR+200】\n　高级者用的细剑，以柔制刚的武器。
11626|1183|Scramasax|单刃短剑|[STR+300]\nA one-handed sword for those who fight for a living.|【STR+300】\n　深受全职剑士欢迎的单手剑。
11708|1184|Akashic Heart|虚空之心|[STR+400/ATS+25/AGL+5]\nA sharp one-handed sword with a twisting blade.|【STR+400】\n　弯曲的剑身，以敏锐与锋利著称的弯剑。
11802|1185|Damascus Sword|大马士革剑|[STR+500]\nA high-quality Imperial longsword that doesn't chip easily.|【STR+500】\n　帝国生产的优质长剑，剑身不易产生崩刃。
11896|1186|Sempre Verde|常绿|[STR+600]\nA beautiful one-handed sword that radiates pale green light.|【STR+600】\n　闪耀着美丽的浅蓝色光泽的单手剑。
11989|1187|Calvary Cross|受难十字剑|[STR+700/ATS+30/AGL+10]\nA sword made in Arteria, with a grail design on the guard.|【STR+700】\n　亚尔特利亚法典国生产的剑，护手被设计成星杯的模样。
12095|1188|Fealty Sword|神圣能量剑|[STR+800]\nA knight's sword given by Liberl's royalty to loyal subjects.|【STR+800】\n　利贝尔王室赠与忠臣的骑士剑。
12189|1189|Wing Blade|神之骑士剑|[STR+900]\nA sword designed to resemble wings.|【STR+900】\n　以弯曲刀背与波状起伏的刀棱为特征，如羽翼一般的剑。
12255|1190|Sigrdrifa|女武神|[STR+1000/ATS+35/AGL+15]\nA sword belonging to Liberl's Royal Family. Brings victory.|【STR+1000】\n　刻有祈求胜利的祷词，利贝尔王室宝剑之一。
12359|1191|Mistilteinn|常青剑|[STR+1100/ATS+40/AGL+20]\nA wooden sword that repairs itself. Made from an ancient tree.|【STR+1100】\n　用古代大树的材料制成，可以自动修复剑身崩刃的木剑。
12468|1192|Celeste Blue|青之赛雷斯托|[STR+1200/ATS+45/AGL+25]\nHas a see-through blade that changes color based on the sky.|【STR+1200】\n　梦幻之剑。透明的刀身依天色变化颜色也会不同。
12576|1193|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
12619|1194|Vorpal Sword|斩首剑|[STR+850/ATS+20/DEX+5/AGL+5]\nOnce a traveler's. Destroys fiends from the world of words.|【STR+850】\n　旅行者遗失的物品，据说可以斩杀世界上的任何魔物。
12730|1195|Vorpal Sword+1|斩首剑+1|[STR+950/ATS+40/DEX+5/AGL+15]\nOnce a traveler's. Destroys fiends from the world of words.|【STR+950】\n　旅行者遗失的物品，据说可以斩杀世界上的任何魔物。
12844|1196|Vorpal Sword+2|斩首剑+2|[STR+1300/ATS+60/DEX+5/AGL+20]\nOnce a traveler's. Destroys fiends from the world of words.|【STR+1150】\n　旅行者遗失的物品，据说可以斩杀世界上的任何魔物。
12959|1197|Divine Nova|神圣新星|[STR+1550/ATS+80/DEX+10/AGL+25]\nA sword made of strange ore. Cannot be broken.|【STR+1550】\n　以谜之矿石精炼而成的宝剑，永远不会断折。
13059|1198|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13102|1199|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13145|1200|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13188|1201|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13231|1202|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13274|1203|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13317|1204|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13360|1205|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13403|1206|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13446|1207|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13489|1208|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13532|1209|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13575|1210|Foil+|--|[STR+100]\nA narrow weapon designed for thrusting attacks.| 
13648|1211|Epee+|--|[STR+200]\nA slim weapon that repels much larger ones. For the skilled.| 
13734|1212|--|--| | 
13747|1213|--|--| | 
13760|1214|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13803|1215|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13846|1216|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13889|1217|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13932|1218|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
13975|1219|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
14018|1220|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
14061|1221|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
14104|1222|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
14147|1223|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
14190|1224|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
14233|1225|              |              |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
